HEPAX chain:

		Page 8	Page 9	Page A	Page B

xFE6		000		000		000		000
xFE7		00B		000		009		00A
xFE8		000		00A		00B		008
xFE9		091		091		091		091
xFEA		000		000		000		000
xFEB		000		000		000		000
xFEC		000		000		000		000
xFED		090		090		090		090
xFEE		000		000		000		000
xFEF		091		091		091		091
xFF0		000		000		000		000
xFF1		0E5		0E5		0E5		0E5
xFF2		00F		00F		00F		00F
xFF3		200		200		200		200
