after entering XF 000 do a BST, shows XROM 07,53

s   208    0768  1  01B   -   0.001003C048.1.08 || 0000 00000000
s   209    0769  1  166   -   0.001003C048.1.08 || 0000 00000000
s   210    076A  1  166   -   0.001003C048.1.08 || 0000 00000000
s   211    076B  1  14C   -   0.001003C048.1.08 || 0000 00000000
s   212    076C  1  017   -   0.001003C048.1.08 || 0000 00000000
s   213    076D  1  016   -   0.001003C048.1.08 || 0000 00000000
s   214    076E  1  28C   -   0.001003C048.1.08 || 0000 00000000
s   215    076F  1  013   -   0.001003C048.1.08 || 0000 00000000
s   216    0771  1  23C   -   0.001003C048.1.08 || 0000 00000000
s   217    0772  1  358   -   F.FFF00FFFFF.F.08 || 0000 00000000
s   218    0773  1  38C   -   0.00000013C0.4.81 || 0000 00000000
s   219    0774  1  023   -   0.00000013C0.4.81 || 0000 00000000
s   220    0775  1  130   -   0.00000013C0.4.81 || 0000 00000000
s   221    0776  0  080   -   0.00000013C0.4.81 || 0000 00000000
s   222    0777  1  146   -   0.00000013C0.4.81 || 0000 00000000
s   223    0778  1  04C   -   0.00000013C0.0.80 || 0000 00000000
s   224    0779  1  02F   -   0.00000013C0.0.80 || 0000 00000000
s   225    077A  1  08C   -   0.00000013C0.0.80 || 0000 00000000
s   226    077B  1  023   -   0.00000013C0.0.80 || 0000 00000000
s   227    077F  1  0BC   -   0.00000013C0.0.80 || 0000 00000000
s   228    0780  1  358   -   F.FFF00FFFC0.0.80 || 0000 00000000
s   229    0781  1  38C   -   0.8000080000.0.13 || 0000 00000000
s   230    0782  1  02B   -   0.8000080000.0.13 || 0000 00000000
s   231    0783  1  176   -   0.8000080000.0.13 || 0000 00000000
s   232    0784  1  176   -   0.8000080000.0.13 || 0000 00000000
s   233    0785  1  176   -   0.8000080000.0.13 || 0000 00000000
s   234    0786  1  176   -   0.8000080000.0.13 || 0000 00000000
s   235    0787  1  0BC   -   0.8000080000.0.13 || 0000 00000000
s   236    0788  1  056   -   0.0000000000.0.13 || 0000 00000000
s   237    0789  1  1EE   -   0.13C0000800.8.00 || 0000 00000000
s   238    078A  1  33C   -   0.13C0000800.0.00 || 0000 00000000
s   239    078B  1  056   -   0.0000000000.0.00 || 0000 00000000
s   240    078C  1  1EE   -   0.0270080100.0.00 || 0000 00000000
s   241    078D  1  1EE   -   0.0270080100.0.00 || 0000 00000000
s   242    078E  1  14E   -   0.04F0000200.0.00 || 0000 00000000
s   243    078F  1  130   -   0.09E0000400.0.00 || 0000 00000000
s   244    0790  0  010   -   0.09E0000400.0.00 || 0000 00000000
s   245    0791  1  270   -   0.09E0000400.0.00 || 0000 00000000
s   246    0792  1  130   -   0.09E0000400.0.10 || 0000 00000000
s   247    0793  0  0FD   -   0.09E0000400.0.10 || 0000 00000000
s   248    0794  1  3F0   -   0.09E0000400.0.10 || 0000 00000000
s   249    0795  1  0AE   -   0.09E0000400.0.FD || 0000 00000000
s   250    0796  1  2F0   -   0.09E0000400.0.FD || 0000 00000000
s   251    0797  1  046   -   0.09E00004C1.4.82 || 0000 00000000
s   252    0798  1  3F0   -   0.09E00004C1.4.82 || 0000 00000000
s   253    0799  1  270   -   0.09E00004C1.0.00 || 0000 00000000
s   254    079A  1  3B8   -   0.09E00004C1.0.00 || 0000 00000000
s   255    079B  1  358   -   0.001003C048.1.08 || 0000 00000000
s   256    079C  1  3E0   -   0.001003C048.1.08 || 0000 00000000
s   257    0196  1  2EB   -   0.001003C048.1.08 || 0000 00000000
s   258    0173  1  24C   -   0.001003C048.1.08 || 0000 00000000
s   259    0174  1  03F   -   0.001003C048.1.08 || 0000 00000000
s   260    0175  1  130   -   0.001003C048.1.08 || 0000 00000000
s   261    0176  0  051   -   0.001003C048.1.08 || 0000 00000000
s   262    0177  1  266   -   0.001003C048.1.08 || 0000 00000000
s   263    0178  1  3FB   -   0.001003C048.0.51 || 0000 00000000
s   264    0177  1  266   -   0.001003C048.0.50 || 0000 00000000
s   265    0178  1  3FB   -   0.001003C048.0.50 || 0000 00000000
s   266    0177  1  266   -   0.001003C048.0.4F || 0000 00000000
s   267    0178  1  3FB   -   0.001003C048.0.4F || 0000 00000000
s   268    0177  1  266   -   0.001003C048.0.4E || 0000 00000000
s   269    0178  1  3FB   -   0.001003C048.0.4E || 0000 00000000
s   270    0177  1  266   -   0.001003C048.0.4D || 0000 00000000
s   271    0178  1  3FB   -   0.001003C048.0.4D || 0000 00000000
s   272    0177  1  266   -   0.001003C048.0.4C || 0000 00000000
s   273    0178  1  3FB   -   0.001003C048.0.4C || 0000 00000000
s   274    0177  1  266   -   0.001003C048.0.4B || 0000 00000000
s   275    0178  1  3FB   -   0.001003C048.0.4B || 0000 00000000
s   276    0177  1  266   -   0.001003C048.0.4A || 0000 00000000
s   277    0178  1  3FB   -   0.001003C048.0.4A || 0000 00000000
s   278    0177  1  266   -   0.001003C048.0.49 || 0000 00000000
s   279    0178  1  3FB   -   0.001003C048.0.49 || 0000 00000000
s   280    0177  1  266   -   0.001003C048.0.48 || 0000 00000000
s   281    0178  1  3FB   -   0.001003C048.0.48 || 0000 00000000
s   282    0177  1  266   -   0.001003C048.0.47 || 0000 00000000
s   283    0178  1  3FB   -   0.001003C048.0.47 || 0000 00000000
s   284    0177  1  266   -   0.001003C048.0.46 || 0000 00000000
s   285    0178  1  3FB   -   0.001003C048.0.46 || 0000 00000000
s   286    0177  1  266   -   0.001003C048.0.45 || 0000 00000000
s   287    0178  1  3FB   -   0.001003C048.0.45 || 0000 00000000
s   288    0177  1  266   -   0.001003C048.0.44 || 0000 00000000
s   289    0178  1  3FB   -   0.001003C048.0.44 || 0000 00000000
s   290    0177  1  266   -   0.001003C048.0.43 || 0000 00000000
s   291    0178  1  3FB   -   0.001003C048.0.43 || 0000 00000000
s   292    0177  1  266   -   0.001003C048.0.42 || 0000 00000000
s   293    0178  1  3FB   -   0.001003C048.0.42 || 0000 00000000
s   294    0177  1  266   -   0.001003C048.0.41 || 0000 00000000
s   295    0178  1  3FB   -   0.001003C048.0.41 || 0000 00000000
s   296    0177  1  266   -   0.001003C048.0.40 || 0000 00000000
s   297    0178  1  3FB   -   0.001003C048.0.40 || 0000 00000000
s   298    0177  1  266   -   0.001003C048.0.3F || 0000 00000000
s   299    0178  1  3FB   -   0.001003C048.0.3F || 0000 00000000
s   300    0177  1  266   -   0.001003C048.0.3E || 0000 00000000
s   301    0178  1  3FB   -   0.001003C048.0.3E || 0000 00000000
s   302    0177  1  266   -   0.001003C048.0.3D || 0000 00000000
s   303    0178  1  3FB   -   0.001003C048.0.3D || 0000 00000000
s   304    0177  1  266   -   0.001003C048.0.3C || 0000 00000000
s   305    0178  1  3FB   -   0.001003C048.0.3C || 0000 00000000
s   306    0177  1  266   -   0.001003C048.0.3B || 0000 00000000
s   307    0178  1  3FB   -   0.001003C048.0.3B || 0000 00000000
s   308    0177  1  266   -   0.001003C048.0.3A || 0000 00000000
s   309    0178  1  3FB   -   0.001003C048.0.3A || 0000 00000000
s   310    0177  1  266   -   0.001003C048.0.39 || 0000 00000000
s   311    0178  1  3FB   -   0.001003C048.0.39 || 0000 00000000
s   312    0177  1  266   -   0.001003C048.0.38 || 0000 00000000
s   313    0178  1  3FB   -   0.001003C048.0.38 || 0000 00000000
s   314    0177  1  266   -   0.001003C048.0.37 || 0000 00000000
s   315    0178  1  3FB   -   0.001003C048.0.37 || 0000 00000000
s   316    0177  1  266   -   0.001003C048.0.36 || 0000 00000000
s   317    0178  1  3FB   -   0.001003C048.0.36 || 0000 00000000
s   318    0177  1  266   -   0.001003C048.0.35 || 0000 00000000
s   319    0178  1  3FB   -   0.001003C048.0.35 || 0000 00000000
s   320    0177  1  266   -   0.001003C048.0.34 || 0000 00000000
s   321    0178  1  3FB   -   0.001003C048.0.34 || 0000 00000000
s   322    0177  1  266   -   0.001003C048.0.33 || 0000 00000000
s   323    0178  1  3FB   -   0.001003C048.0.33 || 0000 00000000
s   324    0177  1  266   -   0.001003C048.0.32 || 0000 00000000
s   325    0178  1  3FB   -   0.001003C048.0.32 || 0000 00000000
s   326    0177  1  266   -   0.001003C048.0.31 || 0000 00000000
s   327    0178  1  3FB   -   0.001003C048.0.31 || 0000 00000000
s   328    0177  1  266   -   0.001003C048.0.30 || 0000 00000000
s   329    0178  1  3FB   -   0.001003C048.0.30 || 0000 00000000
s   330    0177  1  266   -   0.001003C048.0.2F || 0000 00000000
s   331    0178  1  3FB   -   0.001003C048.0.2F || 0000 00000000
s   332    0177  1  266   -   0.001003C048.0.2E || 0000 00000000
s   333    0178  1  3FB   -   0.001003C048.0.2E || 0000 00000000
s   334    0177  1  266   -   0.001003C048.0.2D || 0000 00000000
s   335    0178  1  3FB   -   0.001003C048.0.2D || 0000 00000000
s   336    0177  1  266   -   0.001003C048.0.2C || 0000 00000000
s   337    0178  1  3FB   -   0.001003C048.0.2C || 0000 00000000
s   338    0177  1  266   -   0.001003C048.0.2B || 0000 00000000
s   339    0178  1  3FB   -   0.001003C048.0.2B || 0000 00000000
s   340    0177  1  266   -   0.001003C048.0.2A || 0000 00000000
s   341    0178  1  3FB   -   0.001003C048.0.2A || 0000 00000000
s   342    0177  1  266   -   0.001003C048.0.29 || 0000 00000000
s   343    0178  1  3FB   -   0.001003C048.0.29 || 0000 00000000
s   344    0177  1  266   -   0.001003C048.0.28 || 0000 00000000
s   345    0178  1  3FB   -   0.001003C048.0.28 || 0000 00000000
s   346    0177  1  266   -   0.001003C048.0.27 || 0000 00000000
