Enter XF 000 in PRGM mode

s   206    0778  1  04C   -   0.00000013C0.4.82 || 0000 00000000
s   207    0779  1  02F   -   0.00000013C0.4.82 || 0000 00000000
s   208    077A  1  08C   -   0.00000013C0.4.82 || 0000 00000000
s   209    077B  1  023   -   0.00000013C0.4.82 || 0000 00000000
s   210    077F  1  0BC   -   0.00000013C0.4.82 || 0000 00000000
s   211    0780  1  358   -   F.FFF00FFFC0.4.82 || 0000 00000000
s   212    0781  1  38C   -   4.8220080000.0.13 || 0000 00000000
s   213    0782  1  02B   -   4.8220080000.0.13 || 0000 00000000
s   214    0783  1  176   -   4.8220080000.0.13 || 0000 00000000
s   215    0784  1  176   -   4.8220080000.0.13 || 0000 00000000
s   216    0785  1  176   -   4.8220080000.0.13 || 0000 00000000
s   217    0786  1  176   -   4.8220080000.0.13 || 0000 00000000
s   218    0787  1  0BC   -   4.8220080000.0.13 || 0000 00000000
s   219    0788  1  056   -   0.0000000000.0.13 || 0000 00000000
s   220    0789  1  1EE   -   0.13C0004822.8.00 || 0000 00000000
s   221    078A  1  33C   -   0.13C0004822.0.00 || 0000 00000000
s   222    078B  1  056   -   0.0000000000.0.00 || 0000 00000000
s   223    078C  1  1EE   -   0.0270080904.4.00 || 0000 00000000
s   224    078D  1  1EE   -   0.0270080904.0.00 || 0000 00000000
s   225    078E  1  14E   -   0.04F0001208.0.00 || 0000 00000000
s   226    078F  1  130   -   0.09E0002410.0.00 || 0000 00000000
s   227    0790  0  010   -   0.09E0002410.0.00 || 0000 00000000
s   228    0791  1  270   -   0.09E0002410.0.00 || 0000 00000000
s   229    0792  1  130   -   0.09E0002410.0.10 || 0000 00000000
s   230    0793  0  0FD   -   0.09E0002410.0.10 || 0000 00000000
s   231    0794  1  3F0   -   0.09E0002410.0.10 || 0000 00000000
s   232    0795  1  0AE   -   0.09E0002410.0.FD || 0000 00000000
s   233    0796  1  2F0   -   0.09E0002410.0.FD || 0000 00000000
s   234    0797  1  046   -   0.09E0002512.4.02 || 0000 00000000
s   235    0798  1  3F0   -   0.09E0002512.4.02 || 0000 00000000
s   236    0799  1  270   -   0.09E0002512.0.00 || 0000 00000000
s   237    079A  1  3B8   -   0.09E0002512.0.00 || 0000 00000000
s   238    079B  1  358   -   0.001003C048.2.28 || 0000 00000000
s   239    079C  1  3E0   -   0.001003C048.2.28 || 0000 00000000
s   240    0F45  1  2B8   -   0.001003C048.2.28 || 0000 00000000
s   241    0F46  1  03C   -   0.000000011E.0.00 || 0000 00000000
s   242    0F47  1  106   -   0.0000000000.0.00 || 0000 00000000
s   243    0F48  1  130   -   0.0000000000.1.1E || 0000 00000000
s   244    0F49  0  00F   -   0.0000000000.1.1E || 0000 00000000
s   245    0F4A  1  36A   -   0.0000000000.1.1E || 0000 00000000
s   246    0F4B  1  229   -   0.0000000000.0.0F || 0000 00000000
s   247    0F4C  0  01A   -   0.0000000000.0.0F || 0000 00000000
s   248    0F4D  1  086   -   0.0000000000.0.0F || 0000 00000000
s   249    0F4E  1  3D9   -   0.0000000000.0.0F || 0000 00000000
s   250    0F4F  0  01C   -   0.0000000000.0.0F || 0000 00000000
s   251    07F6  1  130   -   0.0000000000.0.0F || 0000 00000000
s   252    07F7  0  010   -   0.0000000000.0.0F || 0000 00000000
s   253    07F8  1  270   -   0.0000000000.0.0F || 0000 00000000
s   254    07F9  1  130   -   0.0000000000.0.10 || 0000 00000000
s   255    07FA  0  0FD   -   0.0000000000.0.10 || 0000 00000000
s   256    07FB  1  3F0   -   0.0000000000.0.10 || 0000 00000000
s   257    07FC  1  3E0   -   0.0000000000.0.FD || 0000 00000000
s   258    0F50  1  3DD   -   0.0000000000.0.FD || 0000 00000000
s   259    0F51  0  0AC   -   0.0000000000.0.FD || 0000 00000000
s   260    2BF7  1  130   -   0.0000000000.0.FD || 0000 00000000
s   261    2BF8  0  020   -   0.0000000000.0.FD || 0000 00000000
s   262    2BF9  1  106   -   0.0000000000.0.FD || 0000 00000000
s   263    2BFA  1  31C   -   0.0000000000.0.20 || 0000 00000000
s   264    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   265    2BFC  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   266    2BFD  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   267    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   268    2BFC  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   269    2BFD  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   270    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   271    2BFC  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   272    2BFD  1  3F3   -   0.0000000000.0.20 || 0000 00000000
